company_name,sector ,Rating,reviews,Average salary,Number of Interview,Benifited
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
