x,y,target
-2.509,3.533,1
9.014,4.621,1
4.64,10.214,0
1.973,3.803,0
-6.88,2.034,1
-6.88,6.682,1
-8.838,11.234,0
7.324,8.352,1
2.022,6.841,0
4.161,1.166,1
-9.588,7.38,1
9.398,11.881,0
6.649,1.681,1
-5.753,6.22,1
-6.364,10.528,0
-6.332,8.889,0
-3.915,8.364,0
0.495,8.43,0
-1.361,4.314,0
-4.175,3.523,1
2.237,9.712,0
-7.21,9.721,0
-4.157,10.405,0
-2.673,10.959,0
-0.879,6.136,0
5.704,6.018,0
-6.007,9.58,0
0.285,7.8,0
1.848,8.424,0
-9.071,9.55,0
2.151,10.68,0
-6.59,4.056,1
-8.699,4.507,1
8.978,1.128,1
9.313,6.939,1
6.168,0.431,1
-3.908,5.587,0
-8.047,6.512,1
3.685,3.438,1
-1.197,7.09,0
-7.559,0.366,1
-0.096,0.448,1
-9.312,9.871,1
8.186,4.322,1
-4.824,1.525,1
3.25,6.267,0
-3.766,9.24,0
0.401,2.59,1
0.934,7.475,0
-6.303,1.024,1
9.392,0.62,1
5.503,6.376,0
8.79,6.488,1
7.897,7.649,0
1.958,8.713,0
8.437,11.71,0
-8.23,6.196,1
-6.08,3.875,1
-9.095,9.542,0
-3.493,3.25,1
-2.226,5.268,0
-4.573,0.941,1
6.575,0.304,1
-2.865,11.552,0
-4.381,10.032,0
0.854,8.352,0
-7.182,4.907,1
6.044,2.08,1
-8.509,1.877,1
9.738,3.003,1
5.445,6.591,0
-6.026,8.575,0
-9.89,7.922,1
6.309,3.359,1
4.137,11.458,0
4.58,8.855,0
5.425,6.652,0
-8.519,7.341,1
-2.831,5.035,0
-7.683,2.973,1
7.262,4.272,1
2.466,9.094,0
-3.382,0.173,1
-8.729,1.393,1
-3.78,0.552,1
-3.496,0.489,1
4.592,10.266,0
2.751,8.444,0
7.744,5.69,1
-0.556,1.174,1
-7.608,5.899,1
4.265,5.682,0
5.216,2.078,1
1.226,5.206,0
5.419,4.782,1
-0.124,7.39,0
0.455,7.621,0
-1.449,0.544,1
-9.492,4.495,1
-7.842,7.51,0
-9.371,6.038,1
2.728,10.278,0
-3.713,7.904,0
0.171,1.955,1
8.151,0.847,1
-5.014,7.709,0
-1.792,0.318,1
5.111,7.029,0
-5.424,11.283,0
-8.46,6.906,1
-4.205,4.658,0
-6.776,7.719,0
8.594,5.499,1
6.162,6.547,0
2.668,11.298,0
7.429,4.633,1
6.073,11.534,0
-6.269,10.864,0
7.851,2.349,1
0.787,0.832,1
6.149,1.209,1
7.922,0.219,1
-3.64,1.133,1
-7.799,8.196,0
-5.441,0.854,1
-1.458,3.828,0
6.36,10.139,0
7.215,0.279,1
-9.861,9.774,1
0.215,3.382,1
-1.652,1.418,1
-5.558,8.361,0
-7.603,7.547,0
-3.248,10.53,0
8.858,8.821,0
-3.536,9.642,0
0.376,3.384,0
4.06,2.129,1
-2.727,9.007,0
9.436,9.682,0
9.249,11.886,0
-4.964,4.951,0
-0.055,4.464,0
-3.982,9.317,0
-4.303,4.09,1
-9.262,11.169,0
2.191,10.301,0
0.054,5.148,0
-8.97,9.01,0
-4.427,9.055,0
8.165,1.237,1
-5.209,10.831,0
-7.102,6.063,1
-0.211,9.917,0
9.713,3.841,1
-5.159,10.746,0
3.443,4.67,0
5.232,0.13,1
-5.247,10.865,0
4.564,1.095,1
-2.644,3.832,1
2.646,11.401,0
2.671,11.407,0
0.715,6.881,0
-8.194,7.582,1
6.706,5.381,1
-3.584,3.519,1
-6.27,3.944,1
-9.184,8.07,1
1.818,9.028,0
3.551,9.499,0
-9.668,9.475,1
0.242,1.094,1
-5.47,5.933,0
2.903,0.691,1
-6.513,6.594,1
3.819,5.298,0
-2.265,10.652,0
8.735,4.211,1
-7.25,1.405,1
-3.179,1.716,1
-7.731,9.138,0
8.494,7.419,0
7.547,1.213,1
-4.841,1.009,1
3.2,8.412,0
6.344,0.873,1
1.104,9.862,0
0.593,8.475,0
-5.163,0.976,1
-8.138,1.018,1
7.944,11.84,0
8.008,4.491,1
2.662,4.448,1
-3.219,9.754,0
-3.016,11.367,0
4.519,11.832,0
7.942,9.041,1
7.742,4.515,1
5.598,1.002,1
2.841,9.326,0
-8.317,6.701,1
-6.767,5.091,1
7.971,10.876,0
2.129,1.334,1
-9.816,5.912,1
-7.971,0.136,1
3.27,5.624,0
-9.899,0.676,1
-6.784,1.426,1
0.975,1.41,1
3.838,7.791,0
3.039,8.953,0
-5.515,7.0,0
4.244,11.546,0
-5.255,4.498,0
-3.492,3.429,1
4.93,10.423,0
2.993,2.683,1
6.984,11.559,0
3.152,0.146,1
1.366,11.639,0
-8.127,0.518,1
-2.646,10.694,0
-4.696,6.332,0
-5.12,11.916,0
9.46,0.886,1
-2.138,6.646,0
7.841,11.632,0
2.623,6.277,0
5.896,7.553,0
0.053,8.349,0
1.538,5.454,0
-0.15,7.531,0
-6.095,7.012,0
4.449,10.814,0
-4.385,0.545,1
-9.514,3.372,1
2.909,11.405,0
-6.458,10.683,0
8.809,5.468,1
9.079,7.442,1
8.297,3.329,1
-2.597,2.257,1
-9.691,5.564,1
8.566,4.24,1
-1.436,7.004,0
9.333,0.933,1
9.272,11.693,0
7.06,11.835,0
