WGT,ENG,MPG
1676,2.7,31.1
2386,5.3,24.5
2157,4.3,24.4
1602,3.7,35.5
1320,1.7,36.6
1424,1.7,32.9
1506,1.3,32.5
2227,4.9,24.4
1814,3.7,28.0
2020,4.2,27.6
1345,1.1,37.1
2529,5.4,20.2
2165,4.7,22.5
1542,2.0,30.2
1407,1.8,33.7
1564,1.8,35.1
1444,2.4,33.8
1811,3.4,26.5
1649,2.9,31.3
1277,2.3,35.5
2043,3.8,24.8
1377,1.6,35.4
1541,2.3,32.9
1588,2.6,29.6
1525,3.1,32.3
2124,4.5,26.0
1358,1.9,36.9
1696,3.3,32.1
1931,3.7,24.8
1283,1.2,34.6
2300,3.7,25.9
1421,1.8,35.5
1286,1.3,37.3
2427,5.3,29.0
2095,5.3,24.9
2225,4.6,26.2
1581,2.4,34.2
1713,1.4,34.2
2045,4.1,25.5
1804,3.0,31.2
1294,1.5,34.3
1600,3.2,30.4
1416,1.2,34.5
2515,5.1,21.1
1652,2.2,36.7
1886,4.0,23.7
1823,2.4,31.9
1588,3.3,27.6
2006,3.5,26.4
1784,1.8,33.9
2292,5.4,22.3
2098,4.5,22.9
2428,5.2,20.0
2259,5.0,24.4
1681,3.7,28.0
2392,5.1,22.3
1079,1.4,37.8
1505,1.9,32.4
1045,1.2,42.5
1879,2.5,31.2
1519,2.7,28.2
1452,2.2,34.0
2406,4.7,21.1
1408,2.6,35.0
1581,2.3,30.9
2105,3.4,26.5
1041,1.6,38.6
2263,4.6,25.4
1287,1.3,33.9
2611,5.4,19.1
1977,4.5,25.0
1182,1.9,34.8
1244,1.0,40.6
2313,4.7,23.9
2155,4.2,22.6
2202,4.3,26.4
2078,4.5,29.5
1282,1.3,38.4
1683,2.6,28.2
1171,1.5,35.8
2656,4.9,22.8
2075,3.8,24.9
1386,2.5,34.5
1358,1.3,37.3
1395,2.4,31.8
1742,2.5,30.8
2349,4.3,17.0
1872,3.9,25.7
2523,5.0,20.6
1854,3.1,26.6
1448,1.5,38.0
2451,4.2,20.0
2126,4.4,24.1
1764,3.5,29.4
2040,4.5,28.4
1663,3.2,27.5
1856,3.4,31.0
1781,2.9,30.0
1230,1.1,35.1
1449,1.5,35.7
